2021-09-20 14:48:15:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-20_12.txt
2021-09-20 14:48:15:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-20 14:48:15:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-20 14:48:15:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-20 14:48:15:[Kivy        ] v2.0.0
2021-09-20 14:48:15:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-20 14:48:15:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-20 14:48:15:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-20 14:48:15:[KivyMD      ] v0.104.1
2021-09-20 14:48:15:[Factory     ] 186 symbols loaded
2021-09-20 14:48:15:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-20 14:48:16:[Window      ] Provider: sdl2
2021-09-20 14:48:16:[Window      ] Activate GLES2/ANGLE context
2021-09-20 14:48:16:[GL          ] Using the "OpenGL" graphics system
2021-09-20 14:48:16:[GL          ] Backend used <angle_sdl2>
2021-09-20 14:48:16:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-20 14:48:16:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-20 14:48:16:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-20 14:48:16:[GL          ] OpenGL parsed version: 3, 0
2021-09-20 14:48:16:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-20 14:48:16:[GL          ] Texture max size <16384>
2021-09-20 14:48:16:[GL          ] Texture max units <16>
2021-09-20 14:48:16:[Window      ] auto add sdl2 input provider
2021-09-20 14:48:16:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-20 14:48:16:[Text        ] Provider: sdl2
2021-09-20 14:48:16:[GL          ] NPOT texture support is available
2021-09-20 14:48:16:[GL          ] Unpack subimage support is available
2021-09-20 14:48:18:[Base        ] Start application main loop
2021-09-20 14:48:42:[Clipboard   ] Provider: winctypes
2021-09-20 14:48:48:Deprecated property "<VariableListProperty name=padding_x>" of object "<Empx.utilskv.OTP_TXTInput object at 0x0000024EFF5264A8>" was accessed, it will be removed in a future version
2021-09-20 14:49:33:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-20_13.txt
2021-09-20 14:49:33:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
